customer_id,product_id,product_title,review_headline,review_body,star_rating,helpful_votes,total_votes,verified_purchase,review_date
CUST00200,PROD9,Webcam,Broke after one week.,"Amazing product! Highly recommend! Waste of money, poor quality.",1,48,92,Y,2022-06-07
CUST00007,PROD6,Laptop Stand,"Not as described, disappointed.","Decent, but could be better. Waste of money, poor quality.",4,23,15,Y,2023-08-03
CUST00195,PROD7,Monitor Arm,Perfect! Will buy again.,"Decent, but could be better. Perfect! Will buy again.",4,27,20,N,2023-12-25
CUST00117,PROD9,Phone Case,Perfect! Will buy again.,"Broke after one week. Decent, but could be better.",5,29,97,N,2023-12-05
CUST00195,PROD10,Webcam,Broke after one week.,"Works well, very satisfied. Perfect! Will buy again.",3,46,12,Y,2023-02-23
CUST00122,PROD3,Keyboard,Broke after one week.,"Decent, but could be better. Not as described, disappointed.",4,38,82,N,2023-10-08
CUST00106,PROD3,Mouse,Amazing product! Highly recommend!,Amazing product! Highly recommend! Perfect! Will buy again.,4,5,14,Y,2022-12-16
CUST00073,PROD1,Wireless Earbuds,Good value for money.,Broke after one week. Broke after one week.,4,47,78,Y,2023-11-29
CUST00157,PROD5,Mouse,Exactly what I needed!,"Works well, very satisfied. Works well, very satisfied.",4,10,51,N,2023-10-05
CUST00127,PROD10,Screen Protector,Exactly what I needed!,"Exactly what I needed! Works well, very satisfied.",4,37,19,N,2022-08-19
CUST00079,PROD2,Webcam,"Decent, but could be better.","Not as described, disappointed. Good value for money.",1,50,55,Y,2022-12-11
CUST00134,PROD1,Mouse,Exactly what I needed!,"Decent, but could be better. Amazing product! Highly recommend!",4,30,17,N,2022-06-11
CUST00193,PROD4,USB Cable,Amazing product! Highly recommend!,Amazing product! Highly recommend! Broke after one week.,4,7,3,Y,2022-08-14
CUST00124,PROD6,Keyboard,Broke after one week.,Amazing product! Highly recommend! Perfect! Will buy again.,4,32,2,N,2023-08-06
CUST00163,PROD9,Mouse,"Great quality, fast shipping.","Exactly what I needed! Decent, but could be better.",5,34,95,Y,2023-08-14
CUST00093,PROD7,Screen Protector,Exactly what I needed!,"Great quality, fast shipping. Works well, very satisfied.",3,30,85,N,2023-08-24
CUST00057,PROD4,Monitor Arm,"Decent, but could be better.","Broke after one week. Waste of money, poor quality.",3,5,19,Y,2023-09-28
CUST00159,PROD8,Wireless Earbuds,Broke after one week.,Good value for money. Broke after one week.,2,13,69,Y,2022-12-16
CUST00077,PROD2,Webcam,"Great quality, fast shipping.","Broke after one week. Waste of money, poor quality.",3,7,36,N,2022-01-28
CUST00180,PROD8,Keyboard,Broke after one week.,"Great quality, fast shipping. Perfect! Will buy again.",4,26,6,Y,2022-02-13
CUST00049,PROD10,Webcam,"Decent, but could be better.","Good value for money. Works well, very satisfied.",2,29,3,N,2022-02-16
CUST00085,PROD7,USB Cable,"Decent, but could be better.","Works well, very satisfied. Broke after one week.",4,29,6,Y,2023-08-01
CUST00069,PROD9,Monitor Arm,Perfect! Will buy again.,"Great quality, fast shipping. Perfect! Will buy again.",5,48,50,N,2023-07-24
CUST00163,PROD8,Wireless Earbuds,Good value for money.,"Broke after one week. Waste of money, poor quality.",3,40,23,N,2022-04-04
CUST00179,PROD9,USB Cable,"Not as described, disappointed.",Good value for money. Amazing product! Highly recommend!,4,48,30,Y,2023-12-20
CUST00032,PROD9,Mouse,"Waste of money, poor quality.","Great quality, fast shipping. Not as described, disappointed.",5,26,61,N,2023-10-22
CUST00139,PROD7,Mouse,Perfect! Will buy again.,"Great quality, fast shipping. Good value for money.",4,17,93,N,2022-08-30
CUST00173,PROD4,Phone Case,Exactly what I needed!,Broke after one week. Amazing product! Highly recommend!,5,18,25,N,2023-03-09
CUST00175,PROD8,Wireless Earbuds,Perfect! Will buy again.,"Perfect! Will buy again. Not as described, disappointed.",4,18,19,Y,2023-02-12
CUST00082,PROD5,USB Cable,Perfect! Will buy again.,Exactly what I needed! Broke after one week.,5,27,61,N,2023-05-26
CUST00200,PROD8,Screen Protector,"Decent, but could be better.",Exactly what I needed! Amazing product! Highly recommend!,5,21,3,Y,2023-03-11
CUST00035,PROD10,Wireless Earbuds,"Great quality, fast shipping.","Amazing product! Highly recommend! Not as described, disappointed.",5,37,60,Y,2022-07-16
CUST00123,PROD10,Keyboard,Exactly what I needed!,"Works well, very satisfied. Good value for money.",4,33,68,N,2023-05-18
CUST00018,PROD5,Laptop Stand,"Waste of money, poor quality.","Not as described, disappointed. Amazing product! Highly recommend!",5,47,85,N,2023-03-10
CUST00193,PROD7,Wireless Earbuds,"Great quality, fast shipping.","Works well, very satisfied. Exactly what I needed!",5,25,97,Y,2023-08-10
CUST00132,PROD1,Keyboard,"Waste of money, poor quality.","Waste of money, poor quality. Amazing product! Highly recommend!",2,1,65,Y,2022-12-05
CUST00191,PROD2,Webcam,"Waste of money, poor quality.","Amazing product! Highly recommend! Not as described, disappointed.",5,28,92,Y,2022-12-09
CUST00007,PROD10,Laptop Stand,Good value for money.,"Waste of money, poor quality. Exactly what I needed!",5,50,97,N,2022-10-07
CUST00079,PROD7,Screen Protector,Perfect! Will buy again.,Amazing product! Highly recommend! Amazing product! Highly recommend!,4,37,6,Y,2022-09-02
CUST00177,PROD7,Webcam,Broke after one week.,"Perfect! Will buy again. Works well, very satisfied.",3,24,10,N,2022-12-27
CUST00060,PROD9,Wireless Earbuds,"Decent, but could be better.",Broke after one week. Broke after one week.,3,5,75,N,2022-03-20
CUST00127,PROD7,Monitor Arm,Perfect! Will buy again.,"Amazing product! Highly recommend! Not as described, disappointed.",4,25,20,N,2022-09-26
CUST00182,PROD4,Laptop Stand,"Waste of money, poor quality.",Amazing product! Highly recommend! Good value for money.,5,6,37,Y,2023-09-13
CUST00161,PROD7,Power Bank,Exactly what I needed!,Exactly what I needed! Perfect! Will buy again.,4,0,87,Y,2022-08-21
CUST00198,PROD10,Laptop Stand,Exactly what I needed!,"Good value for money. Waste of money, poor quality.",4,33,88,Y,2022-07-22
CUST00037,PROD7,Mouse,Exactly what I needed!,"Great quality, fast shipping. Great quality, fast shipping.",3,4,43,Y,2022-02-20
CUST00069,PROD6,Mouse,Broke after one week.,Amazing product! Highly recommend! Good value for money.,2,22,51,Y,2023-11-16
CUST00090,PROD9,Keyboard,"Great quality, fast shipping.","Decent, but could be better. Amazing product! Highly recommend!",4,48,35,N,2022-08-11
CUST00086,PROD1,Phone Case,"Decent, but could be better.","Perfect! Will buy again. Great quality, fast shipping.",4,6,88,Y,2023-04-10
CUST00131,PROD7,Wireless Earbuds,Exactly what I needed!,Perfect! Will buy again. Perfect! Will buy again.,5,20,65,Y,2022-01-01
CUST00133,PROD3,Keyboard,"Works well, very satisfied.","Good value for money. Waste of money, poor quality.",5,8,29,Y,2022-08-08
CUST00112,PROD8,Power Bank,"Decent, but could be better.","Waste of money, poor quality. Perfect! Will buy again.",5,24,54,N,2022-11-29
CUST00106,PROD10,USB Cable,Amazing product! Highly recommend!,"Exactly what I needed! Not as described, disappointed.",3,22,65,Y,2023-04-14
CUST00003,PROD1,USB Cable,"Decent, but could be better.","Great quality, fast shipping. Broke after one week.",5,47,83,N,2023-06-01
CUST00111,PROD3,USB Cable,Perfect! Will buy again.,"Waste of money, poor quality. Broke after one week.",4,6,35,Y,2023-08-10
CUST00035,PROD1,Wireless Earbuds,"Decent, but could be better.","Great quality, fast shipping. Amazing product! Highly recommend!",5,9,20,N,2023-11-24
CUST00056,PROD5,Wireless Earbuds,Exactly what I needed!,"Perfect! Will buy again. Great quality, fast shipping.",2,2,33,N,2022-09-25
CUST00020,PROD1,Power Bank,Good value for money.,Broke after one week. Perfect! Will buy again.,3,36,29,Y,2023-06-29
CUST00065,PROD9,Laptop Stand,"Works well, very satisfied.","Good value for money. Not as described, disappointed.",1,35,17,Y,2022-08-15
CUST00193,PROD7,USB Cable,"Great quality, fast shipping.","Amazing product! Highly recommend! Great quality, fast shipping.",3,0,77,N,2023-01-28
CUST00083,PROD3,Laptop Stand,"Not as described, disappointed.","Decent, but could be better. Waste of money, poor quality.",5,40,87,Y,2022-05-25
CUST00200,PROD9,Keyboard,"Decent, but could be better.","Waste of money, poor quality. Perfect! Will buy again.",4,21,6,Y,2023-03-04
CUST00149,PROD5,Phone Case,"Not as described, disappointed.","Decent, but could be better. Good value for money.",4,20,2,Y,2023-04-17
CUST00009,PROD7,Monitor Arm,Exactly what I needed!,Broke after one week. Amazing product! Highly recommend!,4,27,52,N,2022-06-14
CUST00116,PROD9,Phone Case,"Great quality, fast shipping.","Great quality, fast shipping. Exactly what I needed!",2,35,81,N,2023-09-11
CUST00144,PROD9,Wireless Earbuds,Amazing product! Highly recommend!,Amazing product! Highly recommend! Good value for money.,4,41,99,N,2023-01-05
CUST00150,PROD9,Power Bank,Good value for money.,"Great quality, fast shipping. Not as described, disappointed.",5,27,87,N,2023-09-03
CUST00045,PROD5,Mouse,"Waste of money, poor quality.","Amazing product! Highly recommend! Not as described, disappointed.",4,3,74,Y,2023-04-18
CUST00103,PROD7,USB Cable,Amazing product! Highly recommend!,Exactly what I needed! Good value for money.,2,22,79,Y,2022-04-22
CUST00061,PROD4,Mouse,"Waste of money, poor quality.","Decent, but could be better. Waste of money, poor quality.",3,9,81,N,2023-01-19
CUST00015,PROD7,Mouse,Exactly what I needed!,"Broke after one week. Decent, but could be better.",4,30,39,N,2022-11-06
CUST00058,PROD5,Webcam,Exactly what I needed!,Amazing product! Highly recommend! Amazing product! Highly recommend!,5,43,81,Y,2023-12-11
CUST00025,PROD8,Keyboard,"Works well, very satisfied.","Broke after one week. Waste of money, poor quality.",5,24,15,Y,2022-01-04
CUST00168,PROD5,Laptop Stand,Amazing product! Highly recommend!,"Works well, very satisfied. Great quality, fast shipping.",3,8,17,Y,2022-10-07
CUST00009,PROD2,Webcam,"Waste of money, poor quality.","Amazing product! Highly recommend! Waste of money, poor quality.",2,23,90,N,2023-01-16
CUST00085,PROD3,Phone Case,"Works well, very satisfied.","Broke after one week. Great quality, fast shipping.",4,7,60,Y,2023-04-23
CUST00039,PROD4,Webcam,Perfect! Will buy again.,"Amazing product! Highly recommend! Decent, but could be better.",5,38,17,N,2022-02-02
CUST00033,PROD1,Laptop Stand,Exactly what I needed!,Amazing product! Highly recommend! Exactly what I needed!,5,12,75,Y,2023-11-29
CUST00089,PROD9,Screen Protector,Broke after one week.,"Broke after one week. Great quality, fast shipping.",1,31,62,Y,2023-07-27
CUST00025,PROD1,Phone Case,"Great quality, fast shipping.","Works well, very satisfied. Good value for money.",3,27,92,Y,2023-02-18
CUST00051,PROD6,USB Cable,Exactly what I needed!,"Good value for money. Not as described, disappointed.",4,1,86,N,2023-12-20
CUST00065,PROD1,USB Cable,"Waste of money, poor quality.","Exactly what I needed! Works well, very satisfied.",5,42,54,Y,2022-12-09
CUST00034,PROD1,Phone Case,"Decent, but could be better.","Works well, very satisfied. Perfect! Will buy again.",3,18,96,N,2022-06-06
CUST00073,PROD1,USB Cable,Amazing product! Highly recommend!,Broke after one week. Amazing product! Highly recommend!,3,10,64,N,2022-05-14
CUST00163,PROD5,Screen Protector,Good value for money.,"Not as described, disappointed. Good value for money.",4,36,49,N,2023-04-26
CUST00006,PROD9,Monitor Arm,"Great quality, fast shipping.","Broke after one week. Not as described, disappointed.",5,7,38,N,2023-12-14
CUST00077,PROD9,Mouse,Exactly what I needed!,"Exactly what I needed! Waste of money, poor quality.",4,12,10,Y,2022-01-24
CUST00144,PROD9,Power Bank,"Great quality, fast shipping.","Works well, very satisfied. Amazing product! Highly recommend!",4,39,8,N,2022-01-02
CUST00004,PROD6,Monitor Arm,"Not as described, disappointed.","Broke after one week. Great quality, fast shipping.",5,15,44,Y,2023-09-08
CUST00009,PROD5,Webcam,"Great quality, fast shipping.","Not as described, disappointed. Perfect! Will buy again.",5,49,89,N,2023-09-14
CUST00107,PROD4,Power Bank,Broke after one week.,"Broke after one week. Decent, but could be better.",5,7,36,N,2023-09-08
CUST00130,PROD4,Monitor Arm,Broke after one week.,"Works well, very satisfied. Exactly what I needed!",5,28,19,N,2023-06-11
CUST00176,PROD3,Screen Protector,Amazing product! Highly recommend!,"Not as described, disappointed. Not as described, disappointed.",4,29,15,Y,2022-07-20
CUST00063,PROD5,Screen Protector,"Not as described, disappointed.","Great quality, fast shipping. Decent, but could be better.",5,48,81,N,2022-06-05
CUST00168,PROD5,Webcam,Perfect! Will buy again.,"Waste of money, poor quality. Broke after one week.",3,0,100,Y,2022-03-03
CUST00059,PROD7,Webcam,"Not as described, disappointed.","Waste of money, poor quality. Perfect! Will buy again.",3,21,39,Y,2022-01-29
CUST00013,PROD9,Mouse,"Works well, very satisfied.","Perfect! Will buy again. Decent, but could be better.",3,47,45,Y,2022-01-01
CUST00094,PROD1,Wireless Earbuds,Broke after one week.,"Broke after one week. Decent, but could be better.",5,42,54,N,2023-09-11
CUST00012,PROD10,Screen Protector,Good value for money.,"Works well, very satisfied. Perfect! Will buy again.",4,3,31,N,2023-07-12
CUST00026,PROD4,Screen Protector,Broke after one week.,"Great quality, fast shipping. Waste of money, poor quality.",1,47,78,N,2022-10-31
CUST00143,PROD7,Mouse,"Great quality, fast shipping.","Amazing product! Highly recommend! Not as described, disappointed.",3,31,44,Y,2023-10-16
CUST00006,PROD4,Monitor Arm,Exactly what I needed!,"Good value for money. Great quality, fast shipping.",5,25,61,N,2023-11-04
CUST00071,PROD9,Keyboard,"Decent, but could be better.","Works well, very satisfied. Amazing product! Highly recommend!",5,39,13,Y,2023-12-13
CUST00131,PROD2,Phone Case,Perfect! Will buy again.,Exactly what I needed! Exactly what I needed!,5,21,21,Y,2023-03-29
CUST00062,PROD6,USB Cable,"Waste of money, poor quality.","Works well, very satisfied. Works well, very satisfied.",5,21,94,N,2023-01-27
CUST00107,PROD7,Power Bank,"Great quality, fast shipping.","Good value for money. Waste of money, poor quality.",4,16,41,Y,2023-05-06
CUST00081,PROD9,Phone Case,Broke after one week.,Good value for money. Amazing product! Highly recommend!,5,32,15,N,2023-01-02
CUST00175,PROD7,Mouse,"Great quality, fast shipping.","Amazing product! Highly recommend! Works well, very satisfied.",4,0,32,Y,2023-09-12
CUST00122,PROD2,Screen Protector,Exactly what I needed!,"Good value for money. Great quality, fast shipping.",5,42,27,Y,2023-07-18
CUST00043,PROD7,Keyboard,"Works well, very satisfied.","Works well, very satisfied. Exactly what I needed!",4,3,14,Y,2022-03-21
CUST00009,PROD9,Phone Case,"Waste of money, poor quality.","Works well, very satisfied. Perfect! Will buy again.",2,6,65,Y,2023-02-28
CUST00105,PROD7,USB Cable,"Waste of money, poor quality.","Waste of money, poor quality. Not as described, disappointed.",3,19,71,N,2023-02-23
CUST00019,PROD3,Power Bank,"Great quality, fast shipping.","Great quality, fast shipping. Not as described, disappointed.",5,16,16,Y,2022-08-27
CUST00183,PROD4,Webcam,Perfect! Will buy again.,"Exactly what I needed! Works well, very satisfied.",3,39,85,N,2022-09-30
CUST00150,PROD8,Monitor Arm,"Not as described, disappointed.",Amazing product! Highly recommend! Exactly what I needed!,4,41,32,N,2023-08-06
CUST00183,PROD1,Power Bank,Amazing product! Highly recommend!,"Exactly what I needed! Not as described, disappointed.",2,14,29,N,2023-01-04
CUST00107,PROD1,USB Cable,Good value for money.,Perfect! Will buy again. Exactly what I needed!,5,4,35,Y,2023-02-21
CUST00185,PROD4,Laptop Stand,Broke after one week.,Amazing product! Highly recommend! Perfect! Will buy again.,4,16,87,N,2023-08-25
CUST00014,PROD2,Screen Protector,Broke after one week.,"Amazing product! Highly recommend! Waste of money, poor quality.",5,21,35,Y,2022-11-11
CUST00062,PROD4,Webcam,Good value for money.,"Works well, very satisfied. Works well, very satisfied.",3,3,21,N,2023-02-27
CUST00041,PROD10,Screen Protector,"Waste of money, poor quality.",Good value for money. Exactly what I needed!,5,38,66,N,2023-11-16
CUST00097,PROD2,Wireless Earbuds,Amazing product! Highly recommend!,"Decent, but could be better. Decent, but could be better.",4,9,5,N,2023-07-06
CUST00027,PROD1,Monitor Arm,"Works well, very satisfied.","Good value for money. Waste of money, poor quality.",3,46,59,Y,2023-08-30
CUST00174,PROD5,Power Bank,Broke after one week.,"Decent, but could be better. Broke after one week.",3,49,29,Y,2022-12-13
CUST00101,PROD2,Screen Protector,"Not as described, disappointed.","Amazing product! Highly recommend! Waste of money, poor quality.",3,49,83,N,2023-10-16
CUST00177,PROD1,USB Cable,Amazing product! Highly recommend!,"Decent, but could be better. Not as described, disappointed.",5,12,2,N,2023-04-02
CUST00174,PROD1,Webcam,"Great quality, fast shipping.","Perfect! Will buy again. Waste of money, poor quality.",3,27,68,N,2022-11-01
CUST00020,PROD1,Screen Protector,"Not as described, disappointed.","Good value for money. Not as described, disappointed.",5,13,56,N,2022-05-30
CUST00121,PROD3,USB Cable,Good value for money.,"Good value for money. Not as described, disappointed.",4,9,4,N,2022-08-05
CUST00195,PROD7,Webcam,Perfect! Will buy again.,"Not as described, disappointed. Amazing product! Highly recommend!",4,41,4,Y,2023-09-26
CUST00101,PROD6,USB Cable,Broke after one week.,"Works well, very satisfied. Amazing product! Highly recommend!",5,36,90,Y,2022-03-13
CUST00102,PROD4,Screen Protector,Good value for money.,"Broke after one week. Decent, but could be better.",3,4,63,N,2023-07-14
CUST00020,PROD8,Phone Case,Perfect! Will buy again.,"Decent, but could be better. Good value for money.",3,34,72,N,2023-10-29
CUST00017,PROD8,USB Cable,"Works well, very satisfied.","Decent, but could be better. Perfect! Will buy again.",5,45,54,N,2022-06-13
CUST00142,PROD2,Keyboard,"Works well, very satisfied.","Perfect! Will buy again. Works well, very satisfied.",5,1,12,Y,2023-05-18
CUST00086,PROD4,Wireless Earbuds,Broke after one week.,"Amazing product! Highly recommend! Decent, but could be better.",4,0,73,N,2022-12-14
CUST00082,PROD4,Webcam,"Works well, very satisfied.","Works well, very satisfied. Amazing product! Highly recommend!",5,29,47,N,2022-12-04
CUST00087,PROD3,USB Cable,"Works well, very satisfied.",Broke after one week. Exactly what I needed!,5,7,6,N,2022-01-25
CUST00172,PROD9,Power Bank,"Great quality, fast shipping.",Perfect! Will buy again. Broke after one week.,4,0,55,N,2022-08-21
CUST00184,PROD5,Screen Protector,"Not as described, disappointed.","Great quality, fast shipping. Perfect! Will buy again.",3,40,27,Y,2023-09-16
CUST00065,PROD5,Wireless Earbuds,Perfect! Will buy again.,"Not as described, disappointed. Good value for money.",5,28,63,N,2022-05-07
CUST00033,PROD10,Wireless Earbuds,"Waste of money, poor quality.","Perfect! Will buy again. Not as described, disappointed.",4,16,11,N,2022-07-05
CUST00001,PROD10,Wireless Earbuds,"Decent, but could be better.","Not as described, disappointed. Exactly what I needed!",4,31,68,Y,2023-10-01
CUST00108,PROD5,Monitor Arm,"Waste of money, poor quality.","Decent, but could be better. Waste of money, poor quality.",5,7,41,N,2022-07-23
CUST00143,PROD10,Webcam,Broke after one week.,"Not as described, disappointed. Works well, very satisfied.",5,10,77,Y,2023-04-12
CUST00116,PROD5,Keyboard,"Not as described, disappointed.",Good value for money. Exactly what I needed!,4,28,59,Y,2023-10-11
CUST00059,PROD7,Monitor Arm,Amazing product! Highly recommend!,Amazing product! Highly recommend! Good value for money.,4,27,25,N,2023-05-04
CUST00068,PROD1,USB Cable,Exactly what I needed!,"Waste of money, poor quality. Broke after one week.",5,45,48,Y,2022-12-25
CUST00141,PROD4,Mouse,"Decent, but could be better.",Good value for money. Broke after one week.,4,10,75,N,2023-12-10
CUST00049,PROD9,Mouse,"Waste of money, poor quality.","Broke after one week. Waste of money, poor quality.",5,25,81,N,2023-03-30
CUST00176,PROD6,Webcam,"Decent, but could be better.","Great quality, fast shipping. Exactly what I needed!",5,6,30,N,2022-01-24
CUST00076,PROD2,Power Bank,"Decent, but could be better.",Amazing product! Highly recommend! Exactly what I needed!,4,50,73,Y,2022-09-18
CUST00044,PROD6,USB Cable,"Waste of money, poor quality.","Decent, but could be better. Waste of money, poor quality.",4,15,40,N,2023-04-14
CUST00118,PROD6,Laptop Stand,"Waste of money, poor quality.","Decent, but could be better. Broke after one week.",4,25,30,Y,2022-08-04
CUST00072,PROD10,Phone Case,"Not as described, disappointed.","Great quality, fast shipping. Decent, but could be better.",5,43,75,Y,2023-04-08
CUST00047,PROD5,Monitor Arm,"Decent, but could be better.","Not as described, disappointed. Good value for money.",5,18,97,Y,2023-10-14
CUST00024,PROD2,Keyboard,Exactly what I needed!,Amazing product! Highly recommend! Exactly what I needed!,5,13,21,Y,2023-12-08
CUST00138,PROD3,Keyboard,"Great quality, fast shipping.","Great quality, fast shipping. Perfect! Will buy again.",3,39,64,Y,2023-03-19
CUST00140,PROD5,Mouse,"Decent, but could be better.","Amazing product! Highly recommend! Great quality, fast shipping.",4,41,61,Y,2022-08-30
CUST00111,PROD9,Screen Protector,"Great quality, fast shipping.","Amazing product! Highly recommend! Great quality, fast shipping.",5,39,98,N,2023-05-12
CUST00058,PROD5,Wireless Earbuds,Perfect! Will buy again.,"Perfect! Will buy again. Works well, very satisfied.",1,19,7,Y,2022-02-01
CUST00184,PROD4,Mouse,Exactly what I needed!,"Perfect! Will buy again. Decent, but could be better.",5,41,52,N,2022-07-28
CUST00157,PROD6,Keyboard,"Waste of money, poor quality.","Waste of money, poor quality. Broke after one week.",4,29,12,Y,2023-03-09
CUST00100,PROD5,Webcam,Perfect! Will buy again.,"Exactly what I needed! Not as described, disappointed.",4,44,41,Y,2023-12-21
CUST00185,PROD3,Wireless Earbuds,"Works well, very satisfied.","Waste of money, poor quality. Great quality, fast shipping.",4,0,50,Y,2022-02-05
CUST00082,PROD9,Screen Protector,"Not as described, disappointed.",Exactly what I needed! Good value for money.,3,17,30,Y,2023-01-31
CUST00045,PROD9,Power Bank,Amazing product! Highly recommend!,"Not as described, disappointed. Perfect! Will buy again.",5,29,80,N,2023-06-05
CUST00154,PROD6,Phone Case,Amazing product! Highly recommend!,"Waste of money, poor quality. Amazing product! Highly recommend!",4,49,100,Y,2022-06-10
CUST00033,PROD2,Monitor Arm,Exactly what I needed!,"Great quality, fast shipping. Great quality, fast shipping.",3,37,30,N,2022-07-25
CUST00177,PROD4,Wireless Earbuds,"Not as described, disappointed.","Waste of money, poor quality. Broke after one week.",5,25,4,Y,2023-11-22
CUST00102,PROD4,Phone Case,Exactly what I needed!,"Not as described, disappointed. Waste of money, poor quality.",3,35,5,Y,2022-07-10
CUST00166,PROD7,Power Bank,Exactly what I needed!,"Works well, very satisfied. Works well, very satisfied.",5,33,92,N,2022-11-22
CUST00037,PROD5,Monitor Arm,"Waste of money, poor quality.","Waste of money, poor quality. Broke after one week.",4,21,39,Y,2023-12-14
CUST00160,PROD1,Screen Protector,"Great quality, fast shipping.","Decent, but could be better. Perfect! Will buy again.",2,48,16,Y,2022-03-16
CUST00016,PROD9,Mouse,Exactly what I needed!,"Perfect! Will buy again. Waste of money, poor quality.",4,22,61,N,2023-06-24
CUST00045,PROD5,Laptop Stand,"Decent, but could be better.",Exactly what I needed! Exactly what I needed!,5,32,96,N,2023-07-08
CUST00055,PROD3,Monitor Arm,Broke after one week.,"Not as described, disappointed. Exactly what I needed!",5,13,66,N,2023-06-09
CUST00159,PROD10,Webcam,Amazing product! Highly recommend!,"Not as described, disappointed. Perfect! Will buy again.",4,11,19,N,2022-07-05
CUST00167,PROD1,Webcam,Broke after one week.,"Works well, very satisfied. Decent, but could be better.",4,16,84,N,2023-11-29
CUST00007,PROD4,Power Bank,Exactly what I needed!,"Decent, but could be better. Perfect! Will buy again.",4,32,5,Y,2023-01-26
CUST00038,PROD7,Screen Protector,Amazing product! Highly recommend!,"Waste of money, poor quality. Decent, but could be better.",4,38,23,N,2022-12-11
CUST00030,PROD8,Keyboard,Broke after one week.,"Great quality, fast shipping. Broke after one week.",5,24,7,Y,2022-02-27
CUST00001,PROD8,Webcam,Exactly what I needed!,"Works well, very satisfied. Perfect! Will buy again.",2,30,97,Y,2022-08-29
CUST00077,PROD5,Keyboard,Amazing product! Highly recommend!,"Exactly what I needed! Decent, but could be better.",3,48,28,Y,2023-05-06
CUST00156,PROD3,Mouse,Good value for money.,"Waste of money, poor quality. Works well, very satisfied.",4,43,83,Y,2022-02-09
CUST00191,PROD1,USB Cable,Exactly what I needed!,Perfect! Will buy again. Exactly what I needed!,5,26,82,Y,2022-11-12
CUST00011,PROD1,Mouse,"Works well, very satisfied.","Great quality, fast shipping. Decent, but could be better.",5,44,83,N,2023-09-29
CUST00179,PROD4,Webcam,Perfect! Will buy again.,"Great quality, fast shipping. Great quality, fast shipping.",2,10,65,N,2022-07-25
CUST00161,PROD9,Wireless Earbuds,Exactly what I needed!,"Decent, but could be better. Perfect! Will buy again.",3,9,41,Y,2022-09-16
